label,SPXOpenUpDown,SPXPrevChange,SPXPrevVolChange
0,0.011706536,-0.005846593,-0.000402364
0,0.006278574,0.002397856,-0.054020736
1,-0.0009756,-0.000752789,-0.217883921
0,0.034759944,-0.030696953,-0.079617554
0,0.053339459,-0.017465707,0.233126746
0,0.003519977,-0.001230863,0.201779318
0,0.007179756,-0.004718104,-0.037394191
0,-0.016402547,0.015492988,0.032100936
1,-0.015007747,-0.000874911,-0.081497274
0,0.015490538,-0.011855807,0.014005367
0,0.012363689,-0.002838922,0.078421234
0,0.007177392,-0.006510616,-0.239489672
0,0.012131982,0.007225173,-0.076599332
1,0.024445589,-0.029866289,0.016082783
0,0.011938352,0.011473482,-0.035056161
1,0.006089443,-0.003437274,0.027697542
0,0.010074816,-0.015432465,-0.084733216
0,7.46245E-06,0.015886042,-0.001181437
1,-0.026204599,0.002269327,0.08580373
1,-0.012688074,0.008386152,0.111018823
1,-0.002012435,-0.008155272,0.169626199
0,0.002607408,0.004379428,0.032032038
1,-0.01055357,0.006226282,-0.103171339
1,-0.026827628,0.014332426,0.078297971
1,-0.011650223,0.000160418,-0.096688554
1,0.009122539,-0.004684903,0.094842451
0,0.024898991,-0.017199411,-0.102777995
0,0.019010499,-0.002882774,-0.070627866
0,0.010538267,-0.013265578,0.053415296
0,0.002820288,0.013617842,0.051308368
1,-0.015623458,0.006521876,0.053613931
1,0.010335507,-0.01465171,-0.134238968
0,0.033631264,-0.004787992,0.347713813
0,0.001762373,-0.002938609,0.957769503
0,0.009564808,-0.000303813,-0.520419867
0,-0.014995547,0.00886047,-0.011841433
1,-0.012005187,0.006915034,-0.118038703
1,-0.029171343,0.0194468,0.109779626
1,-0.016929687,0.000303284,-0.235653354
1,-0.008405262,0.008185492,0.112879414
1,-0.018854168,-4.65447E-05,-0.069731368
0,0.033495529,-0.029603575,-0.124795049
0,0.03207774,0.012179395,0.219314201
1,0.011556782,-0.021618101,0.015817761
0,0.020297848,0.002607461,0.062767066
1,-0.002245133,-0.010381135,-0.013392643
